Ticker,Volume,Short Float,Short Ratio
SWKS,"5,305,749",15.13%,6.03
RILY,"1,084,470",15.47%,4.83
RGTI,"202,729,362",15.48%,1.65
SMCI,"39,059,798",15.58%,2.14
CAL,"671,574",15.58%,7.54
HZO,"431,490",16.19%,7.98
DMRC,"443,430",16.50%,11.39
INOD,"1,695,979",16.97%,3.20
SEDG,"4,065,288",17.08%,2.53
CHPT,"587,188",17.25%,7.93
CLFD,"327,004",17.45%,9.46
HNGE,"1,305,969",17.45%,3.44
PENG,"3,150,601",17.96%,4.36
KURA,"2,486,229",17.96%,9.88
TBCH,"448,563",18.43%,9.06
LUNR,"14,713,719",18.50%,2.03
BBNX,"1,128,210",18.52%,6.09
ABCL,"6,441,310",18.87%,8.06
BIRK,"4,468,975",18.96%,4.35
AEVA,"3,844,329",19.06%,4.62
KLAR,"6,704,865",19.27%,4.24
NVTS,"50,885,152",19.86%,1.44
VUZI,"4,977,075",20.70%,10.70
ASTS,"29,487,066",20.82%,3.26
PSNL,"2,688,197",21.15%,6.79
DXYZ,"8,872,183",21.54%,1.05
TE,"61,893,140",21.60%,2.16
SPCE,"36,127,027",21.85%,3.16
ASST,"7,722,942",21.93%,3.44
KULR,"6,360,041",22.05%,6.06
SG,"11,072,064",22.41%,4.93
BKKT,"3,314,199",22.57%,2.77
BKSY,"2,020,190",22.68%,3.49
IONQ,"52,359,976",23.00%,2.88
TWST,"1,617,965",23.36%,11.13
ENPH,"10,827,694",23.68%,4.41
FLNC,"10,916,621",27.11%,3.74
WYFI,"1,799,045",27.48%,2.19
XRX,"9,107,952",27.78%,5.57
INDI,"14,007,716",29.08%,11.26
DDD,"4,519,216",29.25%,12.19
VELO,"4,774,662",29.42%,1.59
IOVA,"22,944,259",29.57%,6.65
VIVO,"1,979,217",29.69%,2.50
SHMD,"1,132,677",30.09%,1.80
QUBT,"67,743,848",30.10%,3.58
SLS,"10,642,175",30.86%,7.63
APLD,"22,100,003",30.95%,3.74
CLSK,"21,062,820",36.63%,4.40
BTDR,"7,826,397",41.34%,7.10
WOLF,"10,906,921",56.04%,3.44
