Ticker,Volume,Short Float,Short Ratio
LGIH,"441,293",15.40%,7.88
VSCO,"2,694,819",15.91%,4.26
OLMA,"4,119,953",16.92%,2.93
CGEM,"1,316,846",16.94%,6.17
NRDY,"1,156,805",16.99%,12.22
GES,"693,446",17.12%,8.44
URBN,"10,069,377",17.24%,4.52
CRVS,"995,458",17.29%,10.84
IMCR,"454,490",17.51%,28.18
TRVI,"5,474,773",17.65%,6.74
BNED,"803,228",18.08%,6.08
COLL,"522,765",18.62%,12.45
DMAC,"821,280",20.37%,12.28
EZPW,"910,951",20.46%,14.36
VERA,"3,200,911",20.46%,6.46
ZIM,"7,951,765",21.35%,5.42
SVRA,"2,342,762",21.40%,11.21
ZYXI,"139,018,767",22.51%,1.69
KROS,"1,599,828",23.88%,7.85
CRDF,"1,004,403",24.19%,17.21
KSS,"18,472,144",25.81%,4.42
CGON,"1,156,597",26.99%,13.13
PLAY,"2,184,810",26.99%,6.07
SYM,"5,740,015",27.44%,5.98
AVBP,"590,711",27.54%,22.15
CRK,"3,937,055",28.35%,7.65
MPW,"9,411,385",30.88%,18.00
ULCC,"5,345,547",33.61%,7.05
KALV,"1,928,886",38.14%,11.16
